=== Phase 4 per-model comparison ===
Model      N   %PROCEED P1  %PAUSE P1  %ESCALATE P1  %P3 AMBIG  %BLOCKED  Top violated  Top unresolved
---------  --  -----------  ---------  ------------  ---------  --------  ------------  --------------
GPT        49  0.0%         0.0%       100.0%        95.92%     100.0%    EC-13(2)      EC-09(49)     
GPT_V2     49  0.0%         0.0%       100.0%        97.96%     100.0%    EC-13(1)      EC-09(49)     
GEMINI     48  8.33%        27.08%     64.58%        95.83%     100.0%    EC-13(2)      EC-09(48)     
GEMINI_V2  48  12.5%        22.92%     64.58%        95.83%     100.0%    EC-13(2)      EC-09(48)     
CLAUDE     49  12.24%       8.16%      79.59%        97.96%     100.0%    EC-13(1)      EC-09(49)     
CLAUDE_V2  49  10.2%        10.2%      79.59%        97.96%     100.0%    EC-13(1)      EC-09(49)     
GROK       49  24.49%       36.73%     38.78%        95.92%     100.0%    EC-13(2)      EC-09(49)     
GROK_V2    48  25.0%        39.58%     35.42%        97.92%     100.0%    EC-13(1)      EC-09(48)     
